	actual_label	prediction	abstract
52	Course	Non-Course	human graduat spring cse comput cours home h interact page born cs washington edu offer
53	Non-Course	Non-Course	homepag ad current comput page cs cornel august scienc dalla janeen system thing join home send instrument group favorit eng jreich welcom texa
54	Non-Course	Non-Course	homepag tradit activ page updat research cs offic parallel sytem system tx feel contact utexa fun home garg distribut en guadulp network web edu interest damani om regularli
55	Non-Course	Non-Course	homepag comput link engin hall finder washington jonathan scienc box ahoy univers
56	Non-Course	Non-Course	homepag comput depart bibliographi octob austin page research cs scienc journal first peke jiani alumni b student technic magzin sun utexa luo javascript home h languag collect netscap network web univers java jyluo associ welcom texa perl
57	Course	Course	joke visit comput usual page cs desautel semest week world viru tri backup info might program compress archiv faq lab inform addit net home herald site web kelli wide favorit interest
58	Course	Non-Course	david notkin spring cse project home engin page assign washington cs introductori sampl kwic edu
59	Non-Course	Non-Course	laboratoir comput depart engin wa octob object page research cs institut scienc herv box imag disk offic bull program file system washington sieg thesi size support septemb oper part fundament therebi distribut universit languag edu univers debug softwar project sinc trend memori decemb interest jamrozik main orient recent guid
60	Non-Course	Non-Course	comput depart check current engin page march cs classif scienc graphic box imag devleop journal taz offic program transform special interact cscl june hierarch metip visual system washington coimag sieg support septemb inform marla environ home academ languag proceed web edu univers human larg patent softwar project interest ieee
61	Course	Course	page handl p cornel address three score drop administr instal program cours materi june begin system inform edu plan class hour softwar aug meet matrix name one stress cs linear matlab first offic b design alon lab set though environ includ assign summer niko topic add follow file accept base ignor late ms rank midterm prerequisit distribut math ozan best collect scientif six done instructor lu assist juli mac accord grade comput syllabu staff upson introduct hall deadlin chapter extra hand due loan order problem c pre lectur
62	Non-Course	Non-Course	homepag christian two know arthur compulsori class mak
63	Non-Course	Non-Course	ipic iti home enterpris dri page design intern research institut site process edu inform
64	Non-Course	Non-Course	page alemani juan home
65	Non-Course	Non-Course	comput depart upson research cs cornel theori scienc automata program cours fax semant interpret report faculti note work home includ languag univers infer structur kozen algebra interest paper dexter effect
66	Non-Course	Non-Course	kevin homepag
67	Course	Course	meet room comput syllabu upson page cover cs first info cours materi wednesday philip therefor lab prelim link home thursday assign section due class close tuesday need
68	Non-Course	Non-Course	comput depart seem furnitur japan object page would multimedia cs cornel scienc fall imag complet glanc offic student program cours theoret figur fun ring busi sort pictur finley come door dad may obviou web kinda snowman ee quit server near topic anymor oct beaver manufactur call
69	Course	Non-Course	program cs
70	Non-Course	Non-Course	facil young comput current depart emphasi issu engin research notr theori scienc journal chair first program divis special histori dean system foundat washington also seventeen inform chairman theoret sigact committe paul eleven question time univers complex nation societi group subcommitte titl professor unit interest ieee mom foc associ serv control
71	Non-Course	Non-Course	homepag sept comput depart life outsid austin research cs scienc www utc guitarist fax tay tx david utexa home busi yau edu univers establish interest make texa
72	Non-Course	Non-Course	comput sartr page cs peopl scienc nietzsch wisc jean jacqu home paul andrew may west edu madison geeri interest
73	Non-Course	Non-Course	comput depart summari wisconsin page connect research cs scienc tabl rate involv program cours darpa wisc work home lawrenc network lhl edu univers nation gigabit project mail professor focus interest w
74	Non-Course	Non-Course	arl comput current activ rule voic austin page postal research databas scienc appli student senior system base inform lane home knowledg laboratori languag edu univers confer paper c texa develop list
75	Course	Course	facil meet grade protect synchron depart comput summari daili use miller one wisconsin name page cs scienc unhappi fall classmat pleas discuss intend tri offic involv doit read file cours get particip system handout select inform relev rest oper day detail part choos distribut advanc assign go sheet univers class bart group madison hour project topic structur post short paper kernel text write major success theme place
76	Course	Course	decis train overview homework genet page scienc readabl student ineedagoodicon program cours nip backprop intellig postscript inform refin librari mlj knowledg teach languag basement edu class aij rml migrat ai version progress explan u tip neural help cs induc offic email analyt reinforc artifici archiv monday nd lab learn assign may al section project heurist start spring connect dept intern march geoffrey februari suggest theori comp pm januari aq kibler wednesday shavlik wisc brr concept lisp home cohen math summar empir instructor group hr discoveri paper bp id highway comput use syllabu creat introduct databas www gener read ga machin phone chapter experiment line algorithm april relat stat ml cobweb lectur
77	Non-Course	Non-Course	lumelski page home vladimir
78	Non-Course	Non-Course	offic utexa comput home fax page postal main cs c ashi edu scienc
79	Non-Course	Non-Course	electron access comput staff document cs hypertext research scienc institut cornel gener read cours arpa technic system design list content resourc also set lab inform natur foreign note far xerox dri distribut initi languag cstr network begun davi web univers jim class corpor dan group share remot softwar project captur structur media improv interest make memori problem proxi publicatiion investig whether
80	Non-Course	Non-Course	page home vlad
81	Non-Course	Non-Course	tri person home reserv page configur metacrawl java
82	Non-Course	Non-Course	wisconsin densiti page research document miron scienc tian birch educ student technic system intellig techniqu inform telephon zhang profession ijcai edu plan larg manufactur robot grow workshop room cs classif offic statist compress artifici fax select design bank mobil arm project compil cluster trend topic e topolog sep concentr issu dept imag journal analysi symposium china wisc home distribut technolog ph madison purpos integr assist recent young comput depart joint databas gener thesi data last interest an univ
83	Non-Course	Non-Course	comput depart new page postal research cs scienc snow carl offic program mr yet fax system stephen thesi resum return alway utexa home languag psuedo web scheme univers plan wide person interest know c main degre esteban texa perform
84	Non-Course	Non-Course	wisc david letterman thing prooocessor subba show home interest paper page cs cambridg nba edu histor
85	Non-Course	Non-Course	georg varghes
86	Non-Course	Non-Course	access depart comput wisconsin engin tech page cs lucknow scienc offic saeed n wisc hi contact home reserv sc edu madison guestbook univ
87	Course	Course	comput syllabu schedul page cse b cours winter sieg relev inform home assign time site web global class societi welcom born refer highway
88	Non-Course	Non-Course	homepag project jerri hsu eng cs cornel
89	Non-Course	Non-Course	homepag depart comput thoma jeff engin austin research cs scienc gener appli jthoma system inform contact utexa electr photo laboratori edu univers public group softwar ed ece ut texa
90	Non-Course	Non-Course	version hert comput depart anim wisconsin page motion research cs august scienc graphic susan journal appli program special autonom underwat common system autom intellig experiment lab postscript wisc arbitrari link home laboratori tether multipl uw algorithm univers edu public confer robot madison geometri softwar interest assist juli develop
91	Course	Course	homepag solut syllabu homework cours announc design handout rajeev modifi note sheet algorithm class instructor last see paper hw
92	Course	Course	facil solut room comput schedul page updat cs final studi tent cse offic cours mwf washington inform late midterm penalti assign teach basic autumn languag web edu instructor doan previou pc hour project compil topic tanimoto assist c exam
93	Non-Course	Non-Course	ftp add find inconveni current depart comput austin page construct research cs scienc psp texa world offic program taylor archiv ot system tay reason support inform contact part utexa link place home distribut macintosh proposit marku edu univers last member group uniti prof interest welcom ut appl recent verifi
94	Non-Course	Non-Course	comput depart wisconsin engin instruct page research cs wi address scienc area eric multiscalar offic ericro resum wisc home electr assign edu univers architectur confid madison project topic ece decemb smith kestrel passsth
95	Non-Course	Non-Course	index homepag factoid local depart comput stukel variou tom page construct edit cs research scienc info news artifici technic surviv specif take lunch art inform late david dozen catapult link bio choos home astronomi math mann laboratori al uw web ta site class reader madison sundaram project relat upon trendi weather interest fill obtain call
96	Non-Course	Non-Course	colleg wisconsin page construct research scienc charl student program flexibl system foster postscript inform nuclear applic teach languag edu class person softwar hour martin cs medic milo mathemat first offic parallel yet design promot mobil section hill architectur confer compil nfl engin interchang hailperin imag pm symposium specif ultim wisc oper ba home advanc technolog web univers madison assist perform comput depart st senior quot phone gustavu art fischer java public next tuesday algebra interest know c upa
97	Non-Course	Non-Course	scienc run complet program enabl system design washington foundat inform graduat includ shinook time univers nation last embed softwar project topic reactiv make pdt main chinook
98	Non-Course	Non-Course	alan cline
99	Non-Course	Non-Course	find utexa check edu use runtim cilk page system languag cs mit base rdb inform
100	Course	Course	spring comput overview syllabu schedul code prior document introduct cs tabl fall comp isbn complet email offic program cours evalu archiv implement steven li landweb ps list phone design lectur postscript nsp appoint inform wisc midterm book teitelbaum ol alt form advanc assign network offer uw lhl edu class instructor unix error narayanan html madison term hour project mail professor stat review assist exam refer href ben
101	Non-Course	Non-Course	wisconsin home page univers andi
102	Non-Course	Non-Course	salton gerard
103	Non-Course	Non-Course	classic spring comput seem austin page research cs scienc less fall gener compter uc dahlin root offic taylor file system experiment lab inform mike berkeley oper utexa link summar advanc teach ph technolog may bye web edu univers architectur xf softwar person professor trend interest assist texa list
104	Non-Course	Non-Course	egger susan
105	Non-Course	Non-Course	stefano comput summari wisconsin page march dept cs research august scienc stafylopati v kaxira system galileo inform wisc david multiprocessor home sci edu univers cost public share softwar goodman holland interest assist wind
106	Non-Course	Non-Course	new research western scienc area program dean flexibl system postscript independ languag teach class whole vortex spin view maintain meet one quarter would dead seminar world offic elimin design washington exist chateau unnecessari entir environ assign receiv predict project compil keep microkernel k spring engin object fr intraprocedur analysi optim appli also mani oper concern adapt univers group high integr affect defin interfac depart comput usa jeff hotlist involv experi valid work isol laboratori intermedi interest orient cecil
107	Non-Course	Non-Course	concentr comput depart unives current austin page construct cs scienc graphic www master phone isheldon tool inform contact utexa univeristi profession reciv solid edu person project babi decemb http degre isaac aug texa
108	Course	Course	comput depart katz engin use new updat page document cs static scienc gener corin administr cse offic evalu cours copyright announc comment system washington mind inform especi bi everyon day note link home aid question technolog assign autumn webmast may ta edu univers class web instructor wesley evolut hour mail gaetano weekli topic interest e problem maintain keep contain lectur
109	Non-Course	Non-Course	scientist comput field depart usa machineri issu doctor method austin frenzi page connect research cs elsewher construct scienc jump utc fall semest educ mathemat offic student sweden special understand spurt june vicki fax limit cpsr spent learn contact work utexa link almstrum particularli home includ teach technolog profession web edu univers class garden group softwar topic direct novic interest maintain associ c main organ ut texa
110	Non-Course	Non-Course	perman document move
111	Non-Course	Non-Course	comput depart current construct research cs postal requir scienc dissert program fax specif tay postscript specifi work far utexa environ languag class softwar compil padgett contain devic
112	Non-Course	Non-Course	current wisconsin page research scienc area charl co program cours toward system intellig proc paul synthesi rang edu robot ieee cvpr view main conf control call acquisit seitz correspond cs synthes requir space artifici sequenc set macc question basi video rochest track l abstract e spring imag represent info visual autom base leader wisc finger home j advanc ph scientif univers societi group madison taught juli bookmark input recent comput depart usa stewart introduct fall explor dyer understand implement link rpi interpol professor interest lattic kyro vision simplifi com satellit
113	Non-Course	Non-Course	page niko home
114	Non-Course	Non-Course	mvi k use variou staff page expand document cs handl databas ncsa www cecil cse deystvov system washington realli also lab visitor mosaic home languag russian uw web edu zpl hello member present person project relat vortex vass short slide orient recent qual
115	Non-Course	Non-Course	wen comput field job multimedia page construct cs cornel databas scienc graphic final market email program understand meng system resum oper still habit distribut network edu univers plan java softwar project whkao paper webpaint interest vision
116	Non-Course	Non-Course	recommend comput depart activ engin austin page suggest research cs address scienc cours inform biograph utexa electr edu univers greg professor improv lavend welcom texa
117	Non-Course	Non-Course	comput depart wisconsin cs wi studi scienc milton student program hold todd ms wisc home languag teach section edu univers madison school turnidg case
118	Course	Non-Course	page home cs
119	Non-Course	Non-Course	spring comput depart austin page p cs research scienc collegi utc fall texa educ januari competit offic student micheal b program divis taylor bowl tay learn locat finish utexa wahl home web univers favorit contest interest view ut ai hewett call
120	Course	Non-Course	page home spring cs
121	Non-Course	Non-Course	spring comput depart austin page research cs scienc fall explor represent world email reason intellig describ inform contact detail accomplish utexa kuiper home commonsens mit benjamin plan univers group robot agent topic professor mail interest paper build bjk texa
122	Non-Course	Non-Course	david zuckerman
123	Course	Course	homepag porter schedul page cover p scienc week newsgroup program cours materi tp inform languag pai resolutio time edu class hour bruce decemb maintain room descript cs offic lab someon send assign section pascal topic post need test exam welch dr avail dwip comp today pm special held concept midterm programm note utexa csp home door instructor hr slide prolog solut import comput tutori articl stuff gener discuss might unabl dell ta last relat review interest lectur
124	Non-Course	Non-Course	u comput depart metaphor summari wisconsin deduct develop use current geograph page dept research cs databas scienc journal magazin larri way augment artifici special model june center system design intellig travi support non inform wisc implic link home form technolog angel west edu expert univers larg last group reflex ai softwar project incorpor professor heterogen integr interest w organiz recent contain manag
125	Non-Course	Non-Course	homepag depart comput one chuanjun austin page cs wang scienc end magazin program cours get read take enjoy porsch inform sea thing home pictur ph web lot univers unix pku write prose welcom thought ut texa list
126	Course	Non-Course	spring comput wisconsin variou method page cs theori flow fall linear semest gener januari program cours system inform graduat mp mangasarian network spars algorithm integ larg last l nonlinear ferri offer
127	Non-Course	Non-Course	feminist women comput page research cs scienc graphic imag sean past acm froggi divers jpower washington hero hi david stollnitz home duoton h siggraph academ uw edu joanna ed interest main biolog color
128	Non-Course	Non-Course	homepag spring comput current anim depart engin multimedia dept cs cornel scienc graphic fall practicum carpet student cours june reduct system specif inform oper india taken distribut seena univers class summer softwar project post eng welcom degre colloqium
129	Non-Course	Non-Course	homepag comput depart engin logic austin postal cs scienc area student b program erdem machin esra reason non inform learn contact utexa edu univers topic cognit interest bilkent texa
130	Non-Course	Non-Course	mural local comput depart affili progress engin new overview schedul page construct research cs peopl scienc final box region cse student medal full parallel cours undergradu technic program master news click washington impact inform visitor graduat includ laboratori desktop profession technolog webmast web edu univers class newslett project contest abstract build associ univ list
131	Non-Course	Non-Course	com rong
132	Non-Course	Non-Course	mpi comput wisconsin use lederman avail page dept research cs document would scienc www area intend offic prism statist get steven also big ongo inform wisc home includ web edu html madison project tunnel relat interest wind http order build univ refer
133	Non-Course	Non-Course	art souther
134	Non-Course	Non-Course	wisc sid email offic name phone page cs hummert go edu
135	Non-Course	Non-Course	grade comput field life engin marvel szu page huang segreg practic scienc graphic internet area intel happili involv program master cours model highli system also set art mani anoth unabashedli graduat oper literatur thu four thing though home live network class asid linux made project interest spectrum c welcom compat
136	Non-Course	Non-Course	brien meghan
137	Non-Course	Non-Course	electron summari austin page research address scienc area rostock program cours june system support inform csl applic rang network sponsor member ieee ftc kaohsiung main workshop cst texa electrospac vol icdc icmc cs email taylor csm design washington select contact storag electr mobil may second architectur confer tech engin object march scale beij end imag chair toler symposium th file colorado foundat oper committe utexa distribut initi ph nsf univers placement commun server high inc integr director row comput depart usa multimedia databas disk acm creativ california bombay work harrick laboratori vin algorithm nation award professor interest c vice
138	Course	Course	kehl cse home page web found fall
139	Course	Course	new page cover document scienc modern program cours fast materi zp inform supercomput join state languag rang class close text none reli index ad descript snyder well cs run matlab larri elimin select design sieg recompil etc dramat zpl subscrib faster array releas compil mail topic e guid majordomo follow engin workstat pleas pm easili assum specif wednesday also home distribut prototyp user scientif web commun unix remot develop perform scientist comput team use syllabu octob variabl previous cse suitabl found relat interest syntax simplifi
140	Non-Course	Non-Course	descript comput depart wisconsin page research cs schnarr scienc eric design function wisc link home languag edu univers architectur laru madison interest assist wind
141	Non-Course	Non-Course	david young
142	Non-Course	Non-Course	comput grant produc use cs valu region run gener student program system washington patch data describ inform eventu initi languag dynam section uw web edu imper member group releas project compil relat spin c
143	Non-Course	Non-Course	cnc profil comput depart current wisconsin engin new method object page practic research scienc journal shapiro mathemat represent appli program model center system foundat base design techniqu ongo inform engr wisc graduat engineeringunivers part mechan univeristi aid includ best languag solid uw algorithm aspect edu nation effort madison deal geometri present project spatial need interest cdt collabor manufactur
144	Non-Course	Non-Course	version game chaput comput depart life new onion austin lyco cs dull studi scienc cyberdog databas texa movi student b info program taylor system pound lab learn stone utexa home robotlab annoy ph hang web univers cliff corpor robot project wrote odesta worst ut appl mac
145	Course	Course	provid protect summari schedul cover normal research document scienc cours system desk inform must edu class hour structur person suffici text cst room daili cs final requir offic statist larger relev macc literatur tr avaiabl result may project topic major sep presen list secur suggest less semest pm equival file get assum simul wisc oper distribut advanc done consider group present paper make build smaller standard grade comput use octob fall discuss intend read worth phone thursday copi solomon public term dec theme lectur
146	Course	Course	comput homework page cs introduct procedur program cours cpu ps system design inform brian home assign project organ guid
147	Non-Course	Course	current page research cs gener pm offic info phone ucla appoint tuth wisc home phil edu dive sail hour atkinson
148	Non-Course	Non-Course	comput depart svkakkad kakkad avail austin page research cs scienc oop pleas januari offic taylor implement swizzl system sheetal inform finger contact utexa storag home best hardwar ph may edu univers fault group member c texa call
149	Non-Course	Non-Course	yu homepag comput depart use octob austin voic page cs scienc internet classmat academi student syu graduat utexa home distribut ph univers class ustc ed texa
150	Non-Course	Non-Course	spring comput ii multimedia research cs cornel introduct databas graphic thrive fall masafumi revolut sector optim suzuki program system polygon data resum techniqu simul report inform lab oper polici independ network nba web site edu class summer ie softwar project structur e manag
151	Non-Course	Non-Course	nimar home interest arora page tx look ph number area
152	Non-Course	Non-Course	ut artifici laboratori intellig
153	Course	Course	page scienc reload tw jiacheng program cours materi skrentni inform browser f teach appendix edu structur hour mon bail cs oop tree offic lab forget assign error see binari topic alloc exam stale list key r updat skip pm analysi copyright get wisc oper handin home psycholog jia sampl web onlin w lec solut comput introduct tabl sol discuss read announc chapter data stack queue locat work ta found algorithm copi thur last problem c futur lectur
154	Non-Course	Non-Course	publish letter
155	Non-Course	Non-Course	tom henzing
156	Non-Course	Non-Course	kevin hinshaw page home
157	Non-Course	Non-Course	yu feng
158	Non-Course	Non-Course	poland student krzysztof son pictur zmudzinski cs number lab inform
159	Non-Course	Non-Course	phd colleg comput logic austin page postal expect cs research scienc student offic program fax ms natur utexa norm home commonsens mccain edu univers interest onlin c main nonmonoton texa
160	Non-Course	Non-Course	spring comput nikosc field vol current amr engin depart method page research cs cornel institut scienc end menu gener co student fluid parallel program master colorado prema center fax system foundat base data simul nj sensit work purdu environ adapt distribut pde toolkit includ advanc ph scientif algorithm nation public niko architecur bernoulli april project domain
161	Course	Course	mpi br find spring u comput homework lock spam r scoreboard split page cs idea pleas sp emd buse superscalar program thread parallel materi cours msgpass system report inform cachecoh net sort home pred thorsten initi technolog io intro sampl pentium high project atm tomasulo c eicken propos case mpp start cach perform
162	Non-Course	Non-Course	comput mobil research washington univers
163	Non-Course	Non-Course	provid solut follow visit depart comput type wisconsin new fiction dewitt wiss volunt whatev geograph page construct pay cs famou databas scienc oddbal www imag hacker administr appli parallel woodwork read implement forth system design also occur friend inform wisc uwvax oper david old though part storag bolo thing home rather sublim web edu univers unix last reviv server madison tiger project relat notic util oql except dave degre everi campu control
164	Non-Course	Non-Course	ya depart countri comput enjoy home engin omid citi page washington cs madani uw box edu univers scienc
165	Non-Course	Non-Course	ed posnak
166	Course	Course	version index current depart homework page cs fall explor analysi offic doit numer cours mwf inform wisc f note deboor concern home math assign edu due class hour relat stat aug offer contain
167	Non-Course	Non-Course	tracyk comput depart captor sinc engin traci help washington cs scienc box edu univers
168	Non-Course	Non-Course	page home daniela
169	Non-Course	Non-Course	finger bookshelf texa student utexa comput depart project shaob austin shma network cs univers final scienc verifc fall
170	Course	Course	cyclic comput runtim quarter blumof page cs fahring matlab loew pm cse block program parallel bordawekar system monday set data septemb midkiff scalapack environ home distribut class complex subscrib driven mail adv ramkumar majordomo
171	Non-Course	Non-Course	find visit comput current depart life engin kwb page research cs scienc box kevin spu rout spend system washington map signific anoth home electr nervou time edu univers previou group explain make chaotic associ
