	actual_label	prediction	terms
16	Non-Course	Non-Course	effect singular distribut indefinit equat automat research class scientif oper professor wisconsin linear mathemat wi order thu home st work solut ph posit siam v madison dayton special sever algebra part studi l york problem numer error page time interest cs ut pp comput pub vol email ellipt wisc may project seymour depart number hand li summari scienc w mix parter univers edu fax spars system attack mail h
17	Course	Course	microsoft program ask misconduct question c languag oper consult offer feedback home borland click section complaint frequent savitch skrentni cours text compil lab inform algebra last fri use coordin introduct window page fall develop jim cs ut comput overview email fortran softwar instructor lampert wisc depart offic li see scienc jeff info edu system mail
18	Non-Course	Non-Course	state program automat jr grant research class c professor novak construct austin lisp link e reus intellig creat x univ ph scheme artifici connect gnu diagram support weather isaac compil usa lab inform unit use problem expert cs ut k address comput specifi vita softwar write tay b laboratori gordon demo algorithm texa offic li run utexa curriculum scienc server shell info univers web edu fax system physic p
19	Non-Course	Non-Course	architectur program phone parallel research wa stamm languag joel construct e also home work ph jack www jolla pa submit confer vliw yahoo lo support california well acm compil exam level rebecca franklin rd box fetch l washington page interest jlo cs paper ut smt sigplan sieg symposium la workshop comput processor philadelphia stanford hall tullsen susan design depart current find dean li june room postscript j scienc univers edu engin compar fax p
20	Course	Course	class oper handout send home read inform newsgroup group introduct page cs ut ta project assign info system mail
21	Course	Non-Course	gambit data intend year work learn fun snow machin use gambl ut major concept math softwar syntax porter run assign scienc web lot simul program school call section thicken nov express hope cours turtl oct high cs previou taken treasur surf chang next play draw move lisp emphas exam plot tree introduct basic pc dec macintosh background unpars foundat languag scheme hunt list take symbol lab algebra graphic comput peano tay translat number li semest p ftp
22	Course	Course	phone research class multicast c speed data construct q sigcomm paul jeffay connect discuss base support descript well swinehart acm ibm cdt principl carri use mbone session appli meet ut k jain particip softwar harrick instructor may sosp algorithm jacobson texa anderson ieee media j self scienc lan transact h oper moran professor e vector paradigm http liu multi cost govindan f conferenc cours inform level g larg transport prerequisit grade cs content shenker thyagarajan floyd p bach issu effici utexa datagram w server titl info univers gener present th argo journal letter color vin r qbic vic zhang databas diego al read requir control imag topic ms log hour ps textbook page fall network paper osdi face domain queri vol pictur multimedia b venkat design tm san kistler inter channel model collect interact berkeley mail distribut august rout boston rangan collabor weight ipc thu retriev monterey advanc emphasi commun submit scheme list core articl v california gupta lab l time cheriton francisco workshop audio friday includ manag howe symposium et comput processor frame tay mit project number proceed offic li sep semest cst edu engin system synopsi clock
23	Non-Course	Non-Course	algorithm ut comput theori group
24	Non-Course	Non-Course	john qiang page home
25	Non-Course	Non-Course	page philipos li home matthai
26	Course	Non-Course	r program daniel c oper data linear joel e april eric exampl brad ii jonathan f joanna dan exam seminar g ps corey matrix n numer jim cs pst ut paper spring pde comput b p kari mike find li quadrat w adam chuck system intro apr kevin h cse
27	Non-Course	Non-Course	graduat phone prof ritu e home perform work ny sugata take compil cornel welcom seminar price student high page cs ut option address spring mukhopadhyay comput czar smith multimedia contact brian design depart nba scienc univers edu progress theori system mail
28	Course	Course	display winter class show data make entir home paul area work discuss well way use meet ut lectur document room co web program new link good cacm offici miscellan locat sourc inform anoth sieg cs file address u zephyr internet server chang info gener glimps execut databas check intellig futur script site read topic idea ps washington problem page network interest develop begun paper mosaic extra write older design mike mail manual wide provid html bring add send detail sew review follow short tuesday filter kurt l index offic li user see edu cse
29	Non-Course	Non-Course	ball prize theorem class data home x work ok teach part death use point ut k richard lectur approach softwar algorithm texa found john soccer curriculum scienc web furthermor view state philosophi oper professor e call univ ph peter ny locat f cours mean cs mccarthi deutsch taken vote vita press u depart fundament texan utexa w univers fax bound dept logic photo own loss noth moffett qed read bob stephen govern rice page paper email mail reach zero austin mathemat detail short gnu educ usa symbol standard algebra robert time verg microprocessor houston smart comput peano pass prover project offic li mccune boyer fund end tx edu p
30	Non-Course	Non-Course	richard mallori
31	Course	Course	state david wednesday isbn archiv c languag term home sundaram clarif list tuesday teach madison uw pm text inform exam hour introduct page fall tuc thursday cs friday ut grade monday martin stukel mcgraw comput lectur mid north email brian wisc written theoret room offic li assist hill john assign scienc septemb info univers edu theori mail cole mwf
32	Course	Course	microsoft phone class c comp handout make home week work code walter clarif pleas text use ut near instructor may assign noland fill program new consult wesley e section nov cours vectra inform understand cs taken function addison stat greg info gener th mon misconduct check object note savitch read midterm exam wed hour problem introduct page fall syllabu email tue wisc mike find appoint mail languag thu borland exampl tuesday pm build lab algebra window time polici refer deadlin hand sci offic li msteel edu sampl
33	Course	Course	class addit mvi offer handout wealth year home sgi base use schedul ut homework lectur document ta room assign scienc get web program new professor solut help cours test inform static art grade cs deros hypermedia depart info keep read degre ad imag topic problem page markup basic avail mosaic instruct syllabu browser quarter written mail wide languag contain html send click follow mind lab last graphic comput hypertext project cool world li edu engin visitor cse
34	Course	Course	program search languag brain logic actor intellig process solut duplic artifici connect behavior cours requir topic lab exam survey represent machin use problem cs ut file k comput syllabu major vision ai select brief li assign studi natur
35	Course	Non-Course	chan access oper serverless storag perform summer nov connect feeley discuss base read impact acm log hypervisor franklin principl oct network hp cs friday ut file meet paper loew symposium voelker sriram fiuczynski quarter dec sosp romer anderson li tiwari edu present system wolman cse
36	Non-Course	Non-Course	merl phone graph research data year home work summer mactest artwork larri teach pleas fun use mitsubishi layout ut chip algorithm get phd web speak e link angel call electr dan inform involv cs concern creativ public princeton game laboratori info fax gemini th r tester parallel wa bookmark label menu futur bob exam washington page network interest fine gon carl design neil person coast mail march virginia contain rout canada send chairman exampl com past lab maintain norm render time workshop comput pass contact snyder index project current cool li user edu ed ftp cse
37	Course	Course	research class c lead denot make like side home paul work java learn base ml descript well text erlingsson cornel newsgroup tool machin use line ut tech homework lectur document concept competillo math ta instructor admin semant goal assign scienc phd web mwf program oper linda e link call implement úlfar ulfar cours relev inform g hi though prerequisit understand cs concern describ function emac content greg postscript prove environ knowledg info correct logic come note resourc upson requir compil el conduct exam hour type ps textbook interest avail basic carl sml tue design find meng appoint nj languag thu advanc scheme prefer specif ee edit proof librari morrisett pm mf standard talk student group mechan fox comput specifi suitabl refer contact mit project jgm properti book offic li compress user edu theori system studi
38	Non-Course	Non-Course	cgi r program winter china famili logic wang link austin object work lin java ee yahoo munich chen alumni cours technolog cai institut yang öð¹ú¼æëã beij time page develop cs schedul ut gateway address spring comput hong yuan yuanj softwar chines u perl select academi yu depart texa break p li xu engr scienc server univers edu system client publish
39	Non-Course	Non-Course	vin research oper e austin send home click work implement www central miscellan locat support inform involv group page interest capit cs ut file rao comput mine email sriram pictur multimedia tay contact harrick design depart texa current offic li hill utexa scienc info univers edu tx system mail
40	Course	Course	news phone winter wednesday monday class technic comp professor construct link leveson send feedback home friday risk note defens meet descript cours request topic lab inform test standard hour larg studi textbook washington time page interest sieg cs carlson ut develop includ manag avail spring success loew comput syllabu document ta analysi softwar hall may z project design depart offic li non suggest assign scienc adam info essenti edu engin system mail cse
41	Non-Course	Non-Course	simpl homepag home
42	Non-Course	Non-Course	prof research c data linear make home aka code swim taylor yahoo hockey weather updat hamilton map zpl ut texa hill scienc web state apt america oper link mr health lin geijn express white csl laptop cnn cs address dell press depart utexa server jeff info univers cam parallel databas intellig www sign activ artifici law consortium compil topic calvin page experi mine traveloc respect congress religion yellow distribut wide languag html boston austin freedom inc algebra last unit robert concert comput hypertext hotlist van hall sammi project tn world offic li cst tx edu system altavista clc
43	Course	Course	wide home paul latex short welcom exam automata fall page cs ut document instructor hypermedia beam world postscript web cse
44	Non-Course	Non-Course	thing research show c data linear bs side home guy week work regist watch mar think featur never cornel seminar barb cmu use point ut score vagu algorithm get scienc airport david program news yale school preprocessor wisconsin mr st perform implement inform super leav cs file know mac depart hmmm hot info univers fax journal valley parallel love drew wi pl guri read madison institut compil topic rabid amir fri problem page interest analysi write wisc design find nba model physic joe truth distribut author languag metal wierd arch partner return sun talk student group comput marci multiscalar beauti index project offic li edu engin theori sohi
45	Non-Course	Non-Course	pardi przemyslaw program distribut emerald phone research przemek interast music languag oper wa school link year also home pardyak week work area commun connect ne base spin descript compil usa built poland student group mechan washington time resum page interest cs schedul ut paper unrel leadership comput mine grad th etc relat brian project bershad depart current somehow find li run scienc fr enjoy univers edu engin fax system
46	Non-Course	Non-Course	graduat phone research austin year home st ph geeta kanpur institut arora page art cs ut river figur contact texa india utexa tx edu
47	Non-Course	Non-Course	c austin home xxx paragraph main well postal usa remolina hi forget emilio page eremolin cs ut comput bullet vita u contact tay texa break offic li utexa scienc fax web edu first tx
48	Non-Course	Non-Course	program distribut parallel effort contain languag access wisconsin wi bart explor home staff perform st pi madison acm compil paradyn lab inform cdt symbol level arpa css tool oct use super page develop cs csto ut meet poster paper symposium comput hypertext temporari florida approach email relat contact releas tue wisc street project depart san li goal antonio get scienc elsewher see jan info univers edu gener fax dayton mail west
49	Non-Course	Non-Course	jeff shabel page home
50	Non-Course	Non-Course	contribut research class c speed data construct god code java two base purpos ml support acm birman death use horu meet ut egypt evolv softwar origin kenneth found firm web elsewher london e link visit call process mani cost conferenc level volum workstat address spring set know abstract robbert tacoma initi parallel move april vogel platform style compani type aris earli introduct page fall network avail develop paper applic overview multimedia releas design fee model werner collect person court open distribut languag differ weight follow system commun lab standard group time robust includ manag comput processor frame van project isi toler li user end theori flexibl p
51	Non-Course	Non-Course	cgi microsoft heavi construct year yong home latex java wife acm ibm fun javaworld use ut misc perl street nhl texa ieee soccer scienc tcl rank jordan convert state news program tk ph nov homepag gamelan cs river seinfeld p utexa univers brunswick r finger travel site yonglu imag tsinghua michael page network b ac util nba model collect graduat china html austin chicago rutger jersey usa sun last unit fox comput lu contact today number li cst tx edu system visitor
52	Course	Non-Course	washington graduat page cs human ut born offer cours spring comput experiment interact edu home h cse
53	Non-Course	Non-Course	thing jreich august send home homepag instrument ad cornel welcom group page join cs favorit ut dalla janeen eng comput email current texa scienc w univers edu system mail
54	Non-Course	Non-Course	en r distribut hai parallel phone research sytem garg austin home st follow work ph homepag activ read phrase updat tradit lab fun damani use time page network interest dept cs feel ut om dr u contact texa offic li utexa get tx web edu regularli system fax vijay guadulp p
55	Non-Course	Non-Course	finder wa ahoy link home homepag gif jonathan img box washington sieg ut resumé comput hall li src scienc univers fax engin
56	Non-Course	Non-Course	r peke finger apt research class china octob languag technic jiani e link austin year javascript associ home st ph homepag java luo yahoo weather alumni inc visitor sun jyluo welcom student use page network cs ut comput bibliographi perl contact b netscap street today p depart texa li utexa magzin scienc collect univers web edu first th journal h
57	Course	Non-Course	program search usenet archiv net addit wide link visit home click command week review tri kelli paragraph site simtel lab inform exam fun maintain type joke backup might disk use map page interest cs favorit ut word file usual comput softwar viru index space faq world li desautel herald semest compress tourist get user enter humor info web keyword ftp mail
58	Course	Non-Course	washington project david page engin cs ut assign spring kwic notkin introductori edu home sampl softwar cse
59	Non-Course	Non-Course	phone research octob speed work herv geoff support hank acm way part therebi fun evan box use map memori ut k voelker softwar j scienc h program oper size e visit perform debug lie cost feeley level g mean load recent sieg cs file guid depart fundament postscript orient univers fax r laboratoir wa access postdoc logic object trend bull main universit ii tlb institut imag disk jamrozik washington page network interest mike anna mail march name distribut languag order thu v store lab sinc unit joseph comput processor decemb thesi vernon hall project mai world offic li karlin septemb edu engin system
60	Non-Course	Non-Course	display class c home bell work coimag learn support editor metip way part box use human ut transform cooper softwar ieee j hierarch scienc web program engin lauren oper special inform visual g larg baker sieg cs pp depart environ eick crime info univers journal tanimoto wa check yang imag stephen washington page interest devleop june burnett packard steve interact march taz chief languag order submit partner academ bricker usa lab cscl graphic time carlson scale comput van space project current proceed offic li user marla patent septemb edu classif system p
61	Course	Course	begin class c linear aug summer code work qr chapter base teach loan text cornel due matrix use session point meet ut martha lectur score approach math softwar instructor pre assign administr get credit first rank classroom program scientif oper vector best staff scmv three sibley f cours inform g though prerequisit grade kb cs newton file set address id mac sit postscript environ drop w chang adam info materi th ozan alon command one midterm accord viewer upson length date topic exam ms hour ps juli problem introduct stress page euler matlab pc syllabu handl extra b design niko find june assist non instal zcat collect late name distribut add order follow review system partner accept six return tar lab done unix gz time includ plan comput lu van hall deadlin hand calendar number offic li ignor see total edu p ftp
62	Non-Course	Non-Course	truth seek trust thing attend matter class born school love christian arthur lead church home god homepag two matthew law think listen teach mak take mean use time ut know hong compulsori christ u thank number li john see total kong
63	Non-Course	Non-Course	search forum research iti send home process work site dri institut cornel inform ipic page ut file design mike li enterpris server info intern edu altavista
64	Non-Course	Non-Course	juan page alemani home
65	Non-Course	Non-Course	structur effect program jr research languag logic professor dexter home work note kozen report upson cours cornel infer algebra usa fun type ps faculti york automata problem interpret interest cs paper ut includ joseph newton comput ithaca hall algorithm semant depart li scienc phd univers edu engin theori fax
66	Non-Course	Non-Course	kevin homepag home
67	Course	Course	wednesday class link home follow section philip tuesday therefor cover upson cours lab due exam need ps use page thursday cs meet ut comput syllabu room li assign prelim info close first materi
68	Non-Course	Non-Course	thing glanc theorem winter class tim make year guy x week work summer connect smile think teach weather well cornel way mother fun busi use gold point ut manufactur random score ta near spent may door hill tick get scienc respond co sort web beaver ring news program music america school link pyramid neo call visit half listen cours dan oct finley hell snowman cs know figur u brian depart somehow server dept color r finger furnitur daniel object come label paragraph read dream imag topic stop page fall contrast paper seem pictur multimedia june kinda would rain name dad gay sound complet eat follow traffic ee front hair neat japan lab talk student time tell obviou comput mountain anymor theoret quit world offic li see jet edu mit
69	Course	Non-Course	program cs li lisp symbol
70	Non-Course	Non-Course	divis research year also paul work connect subcommitte acm cornel join ut committe algorithm ieee scienc first societi state seventeen program question professor visit complex chosen ph foc special inform vice coauthor stanford depart issu histori sigact titl info univers journal logic associ read serv board control textbook washington young interest paper mom chair berkeley foundat author emphasi chairman mexico california taught eleven unit group time reed symposium comput facil dean current theoret li notr nation engin theori system p
71	Non-Course	Non-Course	david utc research class establish sept e austin yau make home st god label work www homepag let hope guitar life guitarist lab fun busi interest art cs tell ut word k comput hong christoph christ age chow contact tay street depart texa thank number li le utexa get scienc outsid drop univers edu tx fax nation visitor kong
72	Non-Course	Non-Course	sartr apt wi home st paul work nietzsch madison geeri uw jacqu jean peopl ps page interest cs ut martin comput ai andrew b wisc may street scienc edu dayton west
73	Non-Course	Non-Course	r program august research oper speed data wisconsin professor wi sigcomm april home rate st work feedback ph focus connect loop madison dayton cours acm control fast involv window time page network interest lhl cs francisco ut darpa pp comput email lawrenc wisc phenomena project atm depart design san li summari ieee scienc w info univers web edu tabl nation fax mail h gigabit clock
74	Non-Course	Non-Course	research school c languag data databas austin rule home warshaw follow work lane nov activ list confer base postal usa lab inform dan maintain student l page develop appli paper ut arl comput senior u contact tay voic laboratori current texa mike cool li utexa scienc knowledg info univers edu fax tx system
75	Course	Course	class intend handout week work discuss base support pleas well text doit cdt part use point meet ut lectur go major score particip assign scienc get oper wisconsin synchron classmat tri listen cours relev inform level involv grade thursday cs file sheet noon depart sit info univers structur unhappi place keep one read madison topic exam hour textbook page fall choos paper theme write select wisc design name distribut bart detail thu review advanc short tuesday post talk daili group time miller success rest comput care pass facil project sep offic li summari kernel protect day edu system
76	Course	Course	phone wednesday ask ga class archiv comp data lead make q department home basement week code bp geoff ok connect learn chapter base teach ml cover dataset doit due theori januari machin use backprop line ut monday weinberg homework lectur ineedagoodicon concept ta math instructor neural may algorithm februari ieee vi assign scienc web progress program council link refin section empir rumelhart induc help cours inform level akcl reinforc cobweb cs rml spring brr sheet experiment id ai analyt press stat u noon discoveri faq depart postscript server knowledg info gener decis apr dept mon geoffrey logic databas lisp summar start cae april intellig www artifici al jude read institut exam ps textbook cohen explan introduct page network mlj migrat paper syllabu overview email highway write aq wisc printer suggest mail march author search languag genet heurist feedback tip creat nd train mooney edit librari kibler pm ilp lab student group et comput hr relat space project version hand offic li readabl intern edu nip aij mit shavlik hw
77	Non-Course	Non-Course	vladimir page lumelski j home
78	Non-Course	Non-Course	c austin round home ashi let main postal usa page cs ut comput u contact tay texa offic tarafdar utexa get scienc fax edu tx
79	Non-Course	Non-Course	ask research class technic make also work learn support foreign corpor davi cornel part fun transmit machin use memori ut document softwar media run scienc phd web xerox e staff risk cstr far cours dan inform g arpa mean jim art understand cs set remot content server info univers gener correct structur product initi access note resourc read institut investig problem network fine interest develop begun paper write design thank find distribut author languag improv lawyer market order feedback share list dri captur lab group proxi time comput hypertext agent electron contact mit whether project li see end edu engin publicatiion system natur
80	Non-Course	Non-Course	page vlad home
81	Non-Course	Non-Course	search oren reserv home selberg configur tri java com metacrawl phrase control etzioni problem page word greg lauckhart person erik web copyright
82	Non-Course	Non-Course	research class tian technic c data aug topolog home joint profession purpos acm dataset sigmod birch techniqu use ut manufactur cluster document an cooper algorithm room run jan scienc oper proc wisconsin e link st univ ph multi densiti statist grow technolog inform fast g larg mobil integr motion recent cs conf u depart ijcai issu telephon info fax gener th journal dept r zhang databas trend intellig artifici madison compil imag topic young page jianwei interest develop ramakrishnan domain mine analysi branch select wisc design find arm june assist mail distribut china canada submit v miron educ int raghu last student l time workshop robot symposium plan comput thesi concentr space project sep offic li bank bo compress edu classif system p
83	Non-Course	Non-Course	thing program new research esteban c languag wide link austin mr home perform work www scheme main return degre postal usa stephen rice ps snow use resum page interest art cs ut carl houston know random plan comput yet thesi psuedo u tay depart texa world offic li utexa get scienc see alway person univers web edu fax system owl tx p march
84	Non-Course	Non-Course	thing david show buffer prooocessor home histor calvin page interest cs paper ut processor subba seinfeld wisc cambridg nba enjoy edu letterman
85	Non-Course	Non-Course	varghes georg
86	Non-Course	Non-Course	lucknow access love comp wisconsin check wi reserv send home univ saeed mirza kanpur guestbook read madison institut calvin hi oct n time page song cs ut tech sc comput email contact b wisc street depart iit offic li india scienc w edu engin dayton mail
87	Course	Course	winter class born link home global site cours relev lab inform welcom time page sieg cs schedul ut comput syllabu highway refer instructor b tue li assign info nation web edu societi alan cse
88	Non-Course	Non-Course	project cs eng jerri hsu cornel edu home homepag
89	Non-Course	Non-Course	search research ece photo austin home aka homepag electr com site thoma lab inform ed keyword group center cs appli ut comput jthoma public softwar contact laboratori depart texa calendar li utexa scienc jeff info univers edu engin gener system album
90	Non-Course	Non-Course	autom program august research proc wisconsin e move link tether wi intellig home st work confer plane multipl madison v dayton special uw common cover lab dan juli hert graphic motion page vladimir interest develop cs appli ut paper robot arbitrari autonom comput experiment planar geometri vita public terrain softwar wisc laboratori algorithm susan depart version design li tiwari assist ieee postscript scienc w univers edu anim system journal underwat
91	Course	Course	addendum class moran springer handout make home x note solut announc homepag kozen nov upson cours text lab exam talk last ps rubinfeld evan time ronitt thursday paper ut spring homework rajeev lectur syllabu sheet ta instructor verlag algorithm design see modifi edu hw mwf
92	Course	Course	winter c languag data lisp autumn mr work summer solut keep teach midterm mscc cours updat compil topic inform exam hour unix g textbook tanimoto washington use time tent page point basic penalti cs pc ut schedul sieg previou option comput anhai dr smith facil instructor hall project algorithm room offic li assist final assign doan steve info web edu late studi cse mwf
93	Non-Course	Non-Course	state program distribut prof proposit research phone archiv place logic misra construct austin link add visit home work kaltenbach ph taylor site support welcom inform part emerson last ps group ot marku time page network interest recent cs member ut tex develop address comput verifi email softwar inconveni contact tay macintosh b uniti hall depart texa current find offic li reason world utexa psp model scienc checker info univers edu tx system ftp mail appl
94	Non-Course	Non-Course	architectur phone parallel research ece professor wisconsin e wi april home passsth area eric bennett ericro electr madison ilp topic level jame fetch resum page trace cs ut address symposium comput instruct kestrel decemb approach smith branch multiscalar wisc street project confid depart rotenberg offic li bandwidth john j assign scienc steve erik univers edu engin johnson th dayton mail west
95	Non-Course	Non-Course	research class technic show construct home week local weather ray ut ta math india scienc william web catapult fill david news dozen link call mann onion lunch homepag surviv sundaram inform reader art cs variou stukel wait laboratori depart brief trendi info univers santa th astronomi blood browbeck artifici al site madison uw institut page interest choos channel non damn tom steve late mail contain bio follow review factoid specif obtain edit take lab upon tell comput care hypertext relat index hall project hand dilbert li see nation camera theori
96	Non-Course	Non-Course	thing phone research class c show construct charl year dvi home summer java teach ultim acm fischer use minnesota ut martin yet softwar street fink ieee hill found colleg soccer j scienc phd quot first web architectur program school oper wisconsin hailperin e interchang st perform medic section multi technolog inform fast g jame mobil art thursday cs know public humm game nuclear depart sit fan postscript land info univers next play parallel milo wi madison compil imag hour page interest develop applic email foster b wisc design max assist babylon person gustavu dayton mail languag mathemat advanc system specif tuesday confer promot pm usa lab algebra standard student ba l n nfl symposium comput senior upa space world offic li nation edu engin flexibl p west
97	Non-Course	Non-Course	output shinook grant make code work summer connect gaetano use map meet ut softwar scott run j pdt scienc co cad program school oper target sw link staff perform ph nov inform level driver arpa salmon shelf chou info univers hauck embed borriello diego main enabl control topic washington problem develop paper macduff tue design san june name graduat foundat pai detail complet follow wind dri take chinook last maintain robert ross n time reactiv includ processor mountain project li user nation edu system hw west
98	Non-Course	Non-Course	li k alan cline
99	Non-Course	Non-Course	parallel august c languag check base inform robert rdb use time page cs ut runtim mit texa find utexa info edu system cilk
100	Course	Course	phone wednesday isbn class archiv comp offer alt code socket landweb connect teach text map schedul ut monday richard lectur document softwar instructor teitelbaum tcp assign get web h mwf program narayanan professor evalu implement f cours steven inform form csl error thursday cs prior spring rfc stat postscript src w info tabl read midterm madison gif uw toc exam hour img nsp ps introduct ben fall network powerpoint feel syllabu overview email wisc design href bug assist appoint mail ipng name html term complet click review advanc list tuesday lab unix time lhl option comput refer hall project atm ip book offic li sci ol edu engin p
101	Non-Course	Non-Course	page andi wisconsin univers home wisc
102	Non-Course	Non-Course	gerard salton
103	Non-Course	Non-Course	architectur research class oper data professor link austin trend summar classic serverless work advanc ph dahlin xf uc list taylor teach bye read technolog lab inform price rice less disk root page fall interest network cs ut seem file spring comput experiment email softwar b hall may texa mike world offic li compter assist utexa architect scienc person info univers web engin edu system gener berkeley mail tx
104	Non-Course	Course	susan egger
105	Non-Course	Non-Course	r david program parallel august research stafylopati data wisconsin goodman april home st perform nd work wind cost share com holland base editor v lab inform exam multiprocessor tunnel standard g ps jame use page jim interest develop cs workshop ut option kaxira k symposium pp comput processor north th public prolog softwar wisc galileo design sci li summari assist ieee depth tr stefano scienc kiloprocessor info univers edu stein system dept p march
106	Non-Course	Non-Course	research class cecil data entir also work area code summer coke microkernel heidi learn pay base teach support wife way flow seminar fun part alto use join appli meet ut k spent run assign scienc co enjoy client view program new air oper perform optim mani chateau level dead involv defin food high integr intraprocedur sieg cs concern spring receiv vita laboratori vortex depart isol postscript environ orient jeff univers galvin unnecessari letter parallel wa access love object exist split travel flight keep one intermedi compil control exam washington experi interest develop feel word paper palo analysi quarter dec elimin design bug inter adapt model fr valid would western author pure contain languag sound interfac send system whole spin park usa lab maintain group independ scale comput hotlist pass frame predict project dean number world offic li affect edu engin flexibl cse
107	Non-Course	Non-Course	isheldon phone solid e construct austin univeristi aug http summer profession unives www degre inc cours isaac ray inform coursework tool use graphic page trace cs ut master comput decemb concentr softwar frame contact babi project depart texa current li utexa reciv sheldon scienc user person info edu engin mail
108	Course	Course	thing class benjamin home week gaetano think updat synario use meet ut monday lectur document ta softwar instructor may anderson bi assign scienc administr cad credit web weekli h mwf katz new question wesley link e evalu tth announc cours technolog inform static corey especi sieg cs address addison depart comment info eeb univers gener r logic borriello autumn note keep topic exam hour textbook washington problem page interest pc aid quarter design webmast copyright mail author contain send workload feedback mind nonprofit evolut lab maintain time tell comput offic li everyon day corin edu engin system cse
109	Non-Course	Non-Course	research class c construct home work profession connect learn teach acm method frenzi mentor machin limit excel point ut almstrum lectur etc softwar spent texa ieee novic scienc web elsewher utc spurt link organ cpsr special technolog direct scientist understand cs address depart issu utexa univers fax sweden logic check associ travel field main site particularli institut topic ps page fall interest email june mail doctor austin mathemat machineri educ usa maintain student group l time vicki jump includ comput garden contact tay offic li semest tx edu engin
110	Non-Course	Non-Course	move document perman
